Главная	Home
Сеть	Network
Диски	Disks
Файлы	Files
Камеры	Cameras
Умный дом	Smart home
Пользователи	Users
Автоматизация	Automation
Виртуализация	Virtualization
Система	System
Настройки	Settings
Администрирование	Administration
Статистика	Statistics
Обновление каждые 2 секунды	Updated every 2 seconds
Ядро	Core
Системный диск	System disk
Обзор	Overview
Дом и сервисы	Home and services
Интеллект	Intelligence
Выйти	Sign out
Доступно обновление	Update available
Ошибки и предупреждения	Errors and warnings
Текущие контролируемые проверки	Current health checks
Проверка состояния...	Checking status...
Состояние ядра	Core status
Версия	Version
Модули ядра	Core modules
Загрузка состояния модулей...	Loading module status...
Обновление сервера	Server update
Ветка	Branch
Локальная версия	Local revision
GitHub версия	GitHub revision
Состояние	State
Проверка состояния обновлений...	Checking update status...
Проверить обновления	Check for updates
Обновить сервер	Update server
Перезапустить сервер	Restart server
Web / сеть управления	Web / management network
Настройки сети	Network settings
Сохранить	Save
Изменение bind address или порта вступит в силу после перезапуска ядра.	Changes to the bind address or port take effect after restarting the core.
VPN-подключения сервера	Server VPN connections
Профили WireGuard читаются из runtime/wireguard/*.conf. Для подключения на Debian должен быть установлен пакет wireguard-tools, а процесс Home AI Core должен иметь системное разрешение на управление сетевыми интерфейсами.	WireGuard profiles are read from runtime/wireguard/*.conf. Connecting on Debian requires wireguard-tools and permission to manage network interfaces.
Обновить WireGuard	Refresh WireGuard
Загрузка профилей WireGuard...	Loading WireGuard profiles...
Здесь будет управление интерфейсами, адресами, маршрутами, DNS и диагностикой сети.	Network interfaces, addresses, routes, DNS and diagnostics will be managed here.
Интерфейсы	Interfaces
Маршруты	Routes
Диагностика	Diagnostics
Диски и хранилища	Disks and storage
Проверить новые диски	Scan for new disks
Здесь находятся все операции с дисками, назначение хранилищ для камер и личных файлов, а также hot-plug обнаружение.	Manage disks, assign storage for cameras and personal files, and detect newly connected devices here.
Подключённые хранилища	Connected storage
Новые / неиспользуемые диски	New / unused disks
Загрузка информации о дисках...	Loading disk information...
Поиск новых дисков...	Scanning for new disks...
Настройки хранилищ	Storage settings
Диски для видео	Video disks
Диски для личных файлов	Personal file disks
Управление диском	Manage disk
Устройство не выбрано.	No device selected.
Назначение и подключение	Assignment and mounting
Подключить для видео	Mount for video
Подключить для личных файлов	Mount for personal files
Назначить как видео	Assign to video
Назначить как личные файлы	Assign to personal files
Снять назначение	Clear assignment
Стандартные операции	Standard operations
